icao,lat_deg,lon_deg,elev_m,name
KCPR,42.907381,-106.461609,1630.7,Casper-Natrona County International Airport
KCRP,27.770399,-97.501198,13.4,Corpus Christi International Airport
KCRQ,33.128300,-117.279999,100.9,McClellan-Palomar Airport
KCRW,38.373100,-81.593201,299.0,Yeager Airport
KCSG,32.516415,-84.939602,121.0,Columbus Airport
KCVG,39.048801,-84.667801,273.1,Cincinnati Northern Kentucky International Airport
KCVN,34.426594,-103.078794,1285.0,Clovis Municipal Airport
KCVX,45.304798,-85.274803,203.9,Charlevoix Municipal Airport
KCWA,44.777448,-89.670238,389.2,Central Wisconsin Airport
KCYS,41.155701,-104.811997,1877.3,Cheyenne Regional Jerry Olson Field
KDAB,29.182550,-81.059464,10.4,Daytona Beach International Airport
KDAL,32.847111,-96.851778,145.4,Dallas Love Field
KDAY,39.902401,-84.219398,307.5,James M. Cox Dayton International Airport
KDBQ,42.402000,-90.709503,328.3,Dubuque Regional Airport
KDCA,38.852100,-77.037697,4.6,Ronald Reagan Washington National Airport
KDDC,37.763401,-99.965599,790.7,Dodge City Regional Airport
KDEC,39.834599,-88.865700,207.9,Decatur Airport
KDEN,39.861667,-104.673056,1655.5,Denver International Airport
KDFW,32.896944,-97.038056,182.3,Dallas Fort Worth International Airport
KDHN,31.321301,-85.449600,122.2,Dothan Regional Airport
KDIK,46.797533,-102.801905,790.0,Dickinson Theodore Roosevelt Regional Airport
KDJT,26.683201,-80.095596,5.8,President Donald J. Trump International Airport
KDLH,46.841873,-92.198746,435.3,Duluth International Airport
KDOV,39.129501,-75.466003,7.3,Dover Civil Air Terminal/Dover Air Force Base
KDRO,37.151501,-107.753998,2037.6,Durango La Plata County Airport
KDSM,41.534027,-93.656719,292.0,Des Moines International Airport
KDTS,30.400101,-86.471497,7.0,Destin Executive Airport
KDTW,42.213770,-83.353786,196.6,Detroit Metropolitan Wayne County Airport
KDUJ,41.178299,-78.898697,553.8,DuBois Regional Airport
KDVL,48.115454,-98.908796,443.8,Devils Lake Regional Airport
KEAR,40.727001,-99.006798,649.5,Kearney Regional Airport
KEAT,47.398899,-120.207001,380.7,Pangborn Memorial Airport
KEAU,44.865799,-91.484299,278.3,Chippewa Valley Regional Airport
KECP,30.357106,-85.795414,21.0,Northwest Florida Beaches International Airport
KEDC,30.398049,-97.566909,189.0,Austin Executive Airport
KEGE,39.642601,-106.917999,1995.8,Eagle County Regional Airport
KEKO,40.824902,-115.792000,1566.7,Elko Regional Airport
KELD,33.221001,-92.813301,84.4,South Arkansas Regional Airport at Goodwin Field
KELM,42.159901,-76.891602,290.8,Elmira Corning Regional Airport
KELP,31.809908,-106.375607,1206.7,El Paso International Airport
KERI,42.083127,-80.173867,223.1,Erie International Tom Ridge Field
KESC,45.723199,-87.088623,185.6,Delta County Airport
KEUG,44.124599,-123.211998,114.0,Eugene Airport
KEVV,38.036999,-87.532402,127.4,Evansville Regional Airport
KEWB,41.676102,-70.956902,24.4,New Bedford Regional Airport
KEWN,35.073002,-77.042900,5.5,Coastal Carolina Regional Airport
KEWR,40.692501,-74.168701,9.1,Newark Liberty International Airport
KEYW,24.556119,-81.759579,0.9,Key West International Airport
KFAR,46.920700,-96.815804,274.9,Hector International Airport
KFAT,36.775767,-119.718018,102.4,Fresno Yosemite International Airport
KFAY,34.991199,-78.880302,57.6,Fayetteville Regional Airport - Grannis Field
KFHR,48.523654,-123.024645,34.4,Friday Harbor Airport
KFLG,35.139757,-111.669826,2137.9,Flagstaff Pulliam Airport
KFLL,26.072599,-80.152702,2.7,Fort Lauderdale Hollywood International Airport
KFLO,34.185398,-79.723900,44.5,Florence Regional Airport
KFNT,42.969294,-83.743355,238.4,Bishop International Airport
KFOD,42.552624,-94.191237,352.3,Fort Dodge Regional Airport
KFSD,43.585463,-96.741152,435.6,Sioux Falls Regional Airport
KFSM,35.336601,-94.367401,143.0,Fort Smith Regional Airport
KFTW,32.819919,-97.360818,216.4,Fort Worth Meacham International Airport
KFWA,40.978896,-85.194465,248.1,Fort Wayne International Airport
KGCC,44.348900,-105.539001,1330.5,Northeast Wyoming Regional Airport
KGCK,37.927502,-100.723999,881.2,Garden City Regional Airport
KGCN,35.952400,-112.147003,2014.4,Grand Canyon National Park Airport
KGDV,47.137658,-104.806910,749.2,Dawson Community Airport
KGEG,47.619900,-117.533997,724.2,Spokane International Airport
KGFK,47.949299,-97.176102,257.6,Grand Forks International Airport
KGGG,32.383999,-94.711502,111.3,East Texas Regional Airport
KGGW,48.212502,-106.614998,699.8,Glasgow Valley County Airport Wokal Field
KGJT,39.126663,-108.529387,1480.7,Grand Junction Regional Airport
KGLH,33.482899,-90.985603,39.9,Mid Delta Regional Airport
KGNV,29.690100,-82.271797,46.3,Gainesville Regional Airport
KGPI,48.310501,-114.255997,907.4,Glacier Park International Airport
KGPT,30.405582,-89.069836,8.5,Gulfport Biloxi International Airport
KGRB,44.483459,-88.130805,211.8,Austin Straubel International Airport
KGRI,40.967499,-98.309601,563.0,Central Nebraska Regional Airport
KGRK,31.067200,-97.828903,309.4,Killeen Regional Airport / Robert Gray Army Airfield
KGRR,42.880798,-85.522797,242.0,Gerald R. Ford International Airport
KGSO,36.099370,-79.937262,281.9,Piedmont Triad International Airport
KGSP,34.895699,-82.218903,293.8,Greenville-Spartanburg International Airport
KGTF,47.481998,-111.371002,1121.7,Great Falls International Airport
KGTR,33.450298,-88.591400,80.5,Golden Triangle Regional Airport
KGUC,38.534672,-106.934566,2340.9,Gunnison Crested Butte Regional Airport
KGUP,35.511653,-108.788166,1972.7,Gallup Municipal Airport
KGYY,41.617087,-87.413206,180.1,Gary/Chicago International Airport
KHDN,40.481201,-107.218002,2013.5,Yampa Valley Airport
KHGR,39.708771,-77.728014,214.3,Hagerstown Regional Richard A Henson Field
KHHR,33.922798,-118.334999,20.1,Jack Northrop Field Hawthorne Municipal Airport
KHIB,47.384831,-92.836905,412.7,Range Regional Airport
KHII,34.570506,-114.357745,238.7,Lake Havasu City Airport
KHLN,46.606800,-111.983002,1181.7,Helena Regional Airport
KHOB,32.687500,-103.217003,1115.9,Lea County Regional Airport
KHOT,34.478800,-93.096262,164.6,Memorial Field Airport
KHOU,29.645336,-95.276812,14.0,William P. Hobby Airport
KHPN,41.067001,-73.707603,133.8,Westchester County Airport
KHRL,26.228500,-97.654404,11.0,Valley International Airport
KHRO,36.261501,-93.154701,416.1,Boone County Airport
KHSV,34.636244,-86.774378,191.7,Huntsville International Airport
KHTS,38.366699,-82.557999,252.4,Tri-State Airport / Milton J. Ferguson Field
KHVN,41.262869,-72.887694,3.7,Tweed New Haven Airport
KHVR,48.541387,-109.762859,789.7,Havre City County Airport
KHXD,32.224400,-80.697502,5.8,Hilton Head Airport
KHYA,41.669300,-70.280403,16.5,Cape Cod Gateway Airport
KHYS,38.844521,-99.273148,609.3,Hays Regional Airport
KIAD,38.944500,-77.455803,95.1,Washington Dulles International Airport
KIAG,43.107300,-78.946198,179.5,Niagara Falls International Airport
KIAH,29.984400,-95.341400,29.6,George Bush Intercontinental Airport
KICT,37.650314,-97.428583,406.3,Wichita Dwight D. Eisenhower National Airport
KIDA,43.514599,-112.070999,1446.0,Idaho Falls Regional Airport
KILG,39.678699,-75.606499,24.4,Wilmington Airport
KILM,34.272345,-77.905117,9.8,Wilmington International Airport
KIMT,45.819110,-88.114557,360.3,Ford Airport
KIND,39.717300,-86.294403,242.9,Indianapolis International Airport
KINL,48.566200,-93.403099,361.2,Falls International Airport
KIPL,32.835390,-115.574026,-16.5,Imperial County Airport
KIPT,41.242126,-76.922450,161.2,Williamsport Regional Airport
KIRK,40.093498,-92.544899,294.4,Kirksville Regional Airport
KISP,40.796324,-73.101703,30.2,Long Island MacArthur Airport
KITH,42.491001,-76.458397,335.0,Ithaca Tompkins Regional Airport
KIWA,33.307800,-111.654999,421.2,Mesa Gateway Airport
KIWD,46.525298,-90.131578,374.9,Gogebic Iron County Airport
KJAC,43.607300,-110.737999,1966.3,Jackson Hole Airport
KJAN,32.311199,-90.075897,105.5,Jackson-Medgar Wiley Evers International Airport
KJAX,30.492469,-81.687813,9.1,Jacksonville International Airport
KJBR,35.831699,-90.646400,79.9,Jonesboro Municipal Airport
KJFK,40.639751,-73.778925,3.9,New York John F. Kennedy International
KJLN,37.151798,-94.498299,299.0,Joplin Regional Airport
KJMS,46.929699,-98.678200,457.2,Jamestown Regional Airport
KJQF,35.387798,-80.709099,214.9,Concord-Padgett Regional Airport
KJRA,40.755107,-74.006896,2.1,West 30th Street Heliport
KJST,40.316101,-78.833900,696.2,John Murtha Johnstown Cambria County Airport
KLAF,40.412875,-86.939363,184.7,Purdue University Airport
KLAL,27.989267,-82.020715,43.3,Lakeland Linder International Airport
KLAN,42.777582,-84.585721,262.4,Capital Region International Airport
KLAR,41.312099,-105.675003,2220.2,Laramie Regional Airport
KLAS,36.083361,-115.151817,664.8,Harry Reid International Airport
KLAW,34.567699,-98.416603,338.3,Lawton Fort Sill Regional Airport
KLAX,33.942536,-118.408075,38.1,Los Angeles International Airport
KLBB,33.663601,-101.822998,1000.4,Lubbock Preston Smith International Airport
KLBE,40.275902,-79.404800,365.5,Arnold Palmer Regional Airport
KLBF,41.126202,-100.683998,846.4,North Platte Regional Airport Lee Bird Field
KLBL,37.044201,-100.959999,879.3,Liberal Mid-America Regional Airport
KLCH,30.126101,-93.223297,4.6,Lake Charles Regional Airport
KLCK,39.813801,-82.927803,226.8,Rickenbacker International Airport
KLEB,43.626099,-72.304199,183.8,Lebanon Municipal Airport
KLEX,38.035066,-84.606738,298.4,Blue Grass Airport
KLFT,30.205299,-91.987602,12.8,Lafayette Regional Airport
KLGA,40.777245,-73.872608,6.7,New York LaGuardia Airport
KLGB,33.816523,-118.149891,18.3,Long Beach International Airport
KLIT,34.729222,-92.223591,79.9,Bill & Hillary Clinton National Airport/Adams Field
KLNK,40.844882,-96.761780,371.6,Lincoln Airport
KLNS,40.121700,-76.296097,122.8,Lancaster Airport
KLRD,27.543800,-99.461601,154.8,Laredo International Airport
KLRU,32.289398,-106.921997,1358.2,Las Cruces International Airport
KLSE,43.879002,-91.256699,199.6,La Crosse Regional Airport
KLUK,39.102357,-84.418945,147.2,Cincinnati Municipal Airport Lunken Field
KLWB,37.857914,-80.400438,701.6,Greenbrier Valley Airport
KLWS,46.374500,-117.014999,439.5,Lewiston Nez Perce County Airport
KLYH,37.326698,-79.200401,285.9,Lynchburg Regional Airport - Preston Glenn Field
KMAF,31.942499,-102.202003,875.1,Midland International Air and Space Port
KMBL,44.272707,-86.246495,189.3,Manistee County Blacker Airport
KMBS,43.533181,-84.083104,203.6,MBS International Airport
KMCE,37.284698,-120.514000,47.2,Merced Regional Macready Field
KMCI,39.301699,-94.713893,312.7,Kansas City International Airport
KMCK,40.207787,-100.592794,787.3,McCook Ben Nelson Regional Airport
KMCN,32.692799,-83.649200,107.9,Middle Georgia Regional Airport
KMCO,28.429394,-81.308994,29,Orlando International Airport
KMCW,43.159801,-93.329716,369.7,Mason City Municipal Airport
KMDT,40.192838,-76.762333,94.5,Harrisburg International Airport
KMDW,41.786001,-87.752417,188.1,Chicago Midway International Airport
KMEI,32.332600,-88.751900,90.5,Key Field / Meridian Regional Airport
KMEM,35.043845,-89.976340,103.9,Memphis International Airport
KMFE,26.176141,-98.237965,32.6,McAllen Miller International Airport
KMFR,42.374199,-122.873001,406.9,Rogue Valley International-Medford Airport
KMGC,41.703300,-86.821198,199.6,Michigan City Municipal Airport
KMGM,32.300598,-86.393997,67.4,Montgomery Regional (Dannelly Field) Airport
KMGW,39.643305,-79.917598,380.4,Morgantown Municipal Airport Walter L. (Bill) Hart Field
KMHK,39.140999,-96.670799,322.2,Manhattan Regional Airport
KMHT,42.932598,-71.435699,81.1,Manchester-Boston Regional Airport
KMIA,25.79565,-80.290556,2.7,Miami International Airport
KMKE,42.947201,-87.896599,220.4,General Mitchell International Airport
KMKG,43.169498,-86.238197,191.7,Muskegon County Airport
KMKL,35.599899,-88.915604,132.3,McKellar-Sipes Regional Airport
KMLB,28.102009,-80.641088,10.1,Melbourne Orlando International Airport
KMLI,41.448502,-90.507500,179.8,Quad City International Airport
KMLU,32.510899,-92.037697,24.1,Monroe Regional Airport
KMMH,37.625381,-118.843060,2174.7,Mammoth Yosemite Airport
KMOB,30.691200,-88.242798,66.8,Mobile Regional Airport
KMOT,48.258010,-101.279123,523.0,Minot International Airport
KMRY,36.586777,-121.844183,78.3,Monterey Regional Airport
KMSL,34.745123,-87.612981,167.9,Northwest Alabama Regional Airport
KMSN,43.139900,-89.337502,270.4,Dane County Regional Truax Field
KMSO,46.915816,-114.091107,977.2,Missoula Montana Airport
KMSP,44.880081,-93.221741,256.3,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field
KMSS,44.936157,-74.844304,65.5,Massena International Airport Richards Field
KMSY,29.993401,-90.264673,1.2,Louis Armstrong New Orleans International Airport
KMTJ,38.509800,-107.893997,1755.3,Montrose Regional Airport
KMTP,41.076500,-71.920797,1.8,Montauk Airport
KMVY,41.393101,-70.614304,20.4,Martha's Vineyard Airport
KMWA,37.751208,-89.016568,143.9,Veterans Airport of Southern Illinois
KMWL,32.781601,-98.060204,296.9,Mineral Wells Regional Airport
KMYL,44.888837,-116.101112,1531.3,McCall Municipal Airport
KMYR,33.679699,-78.928299,7.6,Myrtle Beach International Airport
KNYL,32.650938,-114.609375,64.9,Yuma International Airport / Marine Corps Air Station Yuma
KOAJ,34.829201,-77.612099,28.7,Albert J Ellis Airport
KOAK,37.720085,-122.221184,2.7,Oakland San Francisco Bay Airport
KOGD,41.195900,-112.012001,1363.4,Ogden Hinckley Airport
KOGS,44.681900,-75.465500,90.5,Ogdensburg International Airport
KOKC,35.393388,-97.598248,394.7,OKC Will Rogers World Airport
KOLF,48.094501,-105.574997,605.3,L M Clayton Airport
KOLM,46.969399,-122.903000,63.7,Olympia Regional Airport
KOMA,41.303200,-95.894096,299.9,Eppley Airfield
KONT,34.056000,-117.600998,287.7,Ontario International Airport
KOPF,25.907000,-80.278397,2.4,Miami-Opa Locka Executive Airport
KORD,41.978603,-87.904842,205.1,Chicago O'Hare International Airport
KORF,36.895341,-76.201000,7.9,Norfolk International Airport
KORH,42.267300,-71.875702,307.5,Worcester Regional Airport
KORS,48.708199,-122.910004,9.4,Orcas Island Airport
KOTH,43.417099,-124.246002,5.2,Southwest Oregon Regional Airport
KOWB,37.740101,-87.166801,124.1,Owensboro Daviess County Airport
KOXB,38.310398,-75.124001,3.4,Ocean City Municipal Airport
KPAE,47.906300,-122.281998,184.7,Seattle Paine Field International Airport
KPAH,37.060799,-88.773804,125.0,Barkley Regional Airport
KPBG,44.650902,-73.468102,71.3,Plattsburgh International Airport
KPCW,41.515647,-82.868328,179.8,Erie-Ottawa International Airport
KPDK,33.876330,-84.302130,305.7,DeKalb Peachtree Airport
KPDT,45.695099,-118.841003,456.3,Eastern Oregon Regional Airport at Pendleton
KPDX,45.588699,-122.598000,9.4,Portland International Airport
KPGA,36.924234,-111.447716,1315.5,Page Municipal Airport
KPGD,26.920200,-81.990501,7.9,Punta Gorda Airport
KPGV,35.635535,-77.384262,7.9,Pitt-Greenville Airport
KPHF,37.131901,-76.492996,12.8,Newport News Williamsburg International Airport
KPHL,39.871899,-75.241096,11.0,Philadelphia International Airport
KPHX,33.437269,-112.007788,340.5,Phoenix Sky Harbor International Airport
KPIA,40.663841,-89.692631,201.2,General Wayne A. Downing Peoria International Airport
KPIB,31.467100,-89.337097,90.8,Hattiesburg Laurel Regional Airport
KPIE,27.910200,-82.687401,3.4,St. Petersburg Clearwater International Airport
KPIH,42.909801,-112.596001,1357.0,Pocatello Regional Airport
KPIR,44.382702,-100.286003,531.6,Pierre Regional Airport
KPIT,40.491501,-80.232903,366.7,Pittsburgh International Airport
KPKB,39.345100,-81.439201,261.5,Mid Ohio Valley Regional Airport
KPLN,45.570900,-84.796700,219.8,Pellston Regional Airport of Emmet County Airport
KPNS,30.472718,-87.186639,36.9,Pensacola International Airport
KPQI,46.688999,-68.044800,162.8,Presque Isle International Airport
KPRC,34.653502,-112.419883,1537.7,Prescott Regional Airport - Ernest A. Love Field
KPSC,46.264702,-119.119003,125.0,Tri Cities Airport
KPSM,43.078056,-70.823333,25.6,Portsmouth International at Pease ANGB
KPSP,33.829700,-116.507004,145.4,Palm Springs International Airport
KPUB,38.289101,-104.497002,1440.5,Pueblo Memorial Airport
KPUW,46.741601,-117.111630,779.1,Pullman-Moscow Regional Airport
KPVD,41.725038,-71.425668,16.8,Rhode Island T. F. Green International Airport
KPVU,40.218894,-111.722445,1370.7,Provo Municipal Airport
KPWM,43.646198,-70.309303,23.2,Portland International Jetport
KRAP,44.045300,-103.056999,976.6,Rapid City Regional Airport
KRDD,40.508999,-122.292999,153.9,Redding Municipal Airport
KRDM,44.254101,-121.150002,938.8,Roberts Field
KRDU,35.878659,-78.787300,132.6,Raleigh-Durham International Airport
KRFD,42.195400,-89.097198,226.2,Chicago Rockford International Airport
KRHI,45.631199,-89.467499,495.0,Rhinelander Oneida County Airport
KRIC,37.505199,-77.319702,50.9,Richmond International Airport
KRIW,43.064201,-108.459999,1684.0,Central Wyoming Regional Airport
KRKD,44.060101,-69.099197,17.1,Knox County Regional Airport
KRKS,41.594200,-109.065001,2061.7,Southwest Wyoming Regional Airport
KRNO,39.499100,-119.767998,1345.7,Reno Tahoe International Airport
KROA,37.325500,-79.975403,358.1,Roanoke–Blacksburg Regional Airport
KROC,43.118900,-77.672401,170.4,Frederick Douglass Greater Rochester International Airport
KROW,33.301601,-104.530998,1118.9,Roswell Air Center Airport
KRST,43.908298,-92.500000,401.4,Rochester International Airport
KRSW,26.534685,-81.752816,9.1,Southwest Florida International Airport
KRUT,43.529400,-72.949600,239.9,Rutland - Southern Vermont Regional Airport
KSAF,35.617222,-106.089444,1935,Santa Fe Regional Airport
KSAN,32.733601,-117.190002,5.2,San Diego International Airport
KSAT,29.533694,-98.469778,242.9,San Antonio International Airport
KSAV,32.126591,-81.199980,15.2,Savannah Hilton Head International Airport
KSAW,46.351498,-87.395884,372.2,Marquette/Sawyer International Airport
KSBA,34.426201,-119.839996,4.0,Santa Barbara Municipal Airport
KSBD,34.096717,-117.236596,353.3,San Bernardino International Airport
KSBN,41.708304,-86.316922,243.5,South Bend International Airport
KSBP,35.236801,-120.641998,64.6,San Luis County Regional Airport
KSBY,38.340500,-75.510300,15.8,Salisbury Ocean City Wicomico Regional Airport
KSCK,37.893279,-121.238079,10.1,Stockton Metropolitan Airport
KSDF,38.170600,-85.735076,152.7,Louisville Muhammad Ali International Airport
KSDY,47.705141,-104.194422,605.0,Sidney - Richland Regional Airport
KSEA,47.447943,-122.310276,132.0,Seattle–Tacoma International Airport
KSFB,28.774277,-81.234626,16.8,Orlando Sanford International Airport
KSFO,37.618972,-122.374889,4,San Francisco International Airport
KSGF,37.245047,-93.388596,386.5,Springfield Branson National Airport
KSGJ,29.959200,-81.339798,3.0,Northeast Florida Regional Airport
KSGU,37.036389,-113.510306,896.4,St George Regional Airport
KSHD,38.263802,-78.896400,366.1,Shenandoah Valley Regional Airport
KSHR,44.769199,-106.980003,1225.6,Sheridan County Airport
KSHV,32.444747,-93.826741,78.6,Shreveport Regional Airport
KSJC,37.362375,-121.929022,18,San Jose International Airport
KSJT,31.357700,-100.496002,584.9,San Angelo Regional Mathis Field
KSJX,45.692299,-85.566597,203.9,Beaver Island Airport
KSKX,36.452494,-105.677490,2162.6,Taos Regional Airport
KSLC,40.788389,-111.977772,1288.1,Salt Lake City International Airport
KSLE,44.909500,-123.002998,65.2,Salem-Willamette Valley Airport/McNary Field
KSLK,44.386910,-74.204629,506.9,Adirondack Regional Airport
KSLN,38.791000,-97.652199,392.6,Salina Municipal Airport
KSMF,38.695400,-121.591003,8.2,Sacramento International Airport
KSMN,45.122233,-113.881960,1232.3,Lemhi County Airport
KSMX,34.898899,-120.457001,79.6,Santa Maria Public Airport Captain G Allan Hancock Field
KSNA,33.675667,-117.868222,17.1,John Wayne Airport Orange County
KSOW,34.264062,-110.007091,1955.3,Show Low Regional Airport
KSPI,39.844101,-89.677902,182.3,Abraham Lincoln Capital Airport
KSPS,33.988800,-98.491898,310.6,Wichita Falls Municipal Airport / Sheppard Air Force Base
KSQL,37.513130,-122.250838,1.5,San Carlos Airport
KSRQ,27.394631,-82.554359,9.1,Sarasota Bradenton International Airport
KSTC,45.546600,-94.059898,314.2,Saint Cloud Regional Airport
KSTL,38.748697,-90.370003,188.4,St. Louis Lambert International Airport
KSTS,38.508999,-122.813003,39.0,Charles M. Schulz Sonoma County Airport
KSUN,43.504398,-114.295998,1620.9,Friedman Memorial Airport
KSUX,42.397605,-96.382237,334.7,Sioux Gateway Airport / Brigadier General Bud Day Field
KSVC,32.636701,-108.154736,1659.9,Grant County Airport
KSWF,41.504210,-74.108901,149.7,New York Stewart International Airport
KSWO,36.162132,-97.085581,304.8,Stillwater Regional Airport
KSYR,43.111198,-76.106300,128.3,Syracuse Hancock International Airport
KT89,29.278000,-103.686997,801.6,Lajitas International Airport
KTBN,37.741600,-92.140701,353.3,Waynesville-St. Robert Regional Airport-Forney Field
KTEB,40.850101,-74.060799,2.7,Teterboro Airport
KTEX,37.953800,-107.907997,2764.5,Telluride Regional Airport
KTIW,47.267407,-122.577295,89.6,Tacoma Narrows Airport
KTLH,30.401209,-84.354330,24.7,Tallahassee International Airport
